VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.0,2021-07-01 00:30:52,2021-07-01 00:35:36,N,1.0,74,168,1.0,1.2,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2021-07-01 00:25:36,2021-07-01 01:01:31,N,1.0,116,265,2.0,13.69,42.0,0.5,0.5,0.0,0.0,,0.3,43.3,2.0,1.0,0.0
2.0,2021-07-01 00:05:58,2021-07-01 00:12:00,N,1.0,97,33,1.0,0.95,6.5,0.5,0.5,2.34,0.0,,0.3,10.14,1.0,1.0,0.0
2.0,2021-07-01 00:41:40,2021-07-01 00:47:23,N,1.0,74,42,1.0,1.24,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2021-07-01 00:51:32,2021-07-01 00:58:46,N,1.0,42,244,1.0,1.1,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
1.0,2021-07-01 00:05:00,2021-07-01 00:11:50,N,1.0,24,239,1.0,1.9,8.0,3.25,0.5,3.0,0.0,,0.3,15.05,1.0,1.0,2.75
2.0,2021-07-01 00:57:14,2021-07-01 01:27:43,N,1.0,75,243,1.0,0.0,17.5,0.5,0.5,0.0,0.0,,0.3,18.8,2.0,1.0,0.0
2.0,2021-07-01 00:27:36,2021-07-01 00:32:35,N,1.0,82,82,1.0,0.66,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
2.0,2021-07-01 00:29:09,2021-07-01 00:34:18,N,1.0,74,42,1.0,1.72,7.0,0.5,0.5,2.08,0.0,,0.3,10.38,1.0,1.0,0.0
2.0,2021-07-01 00:41:33,2021-07-01 00:49:24,N,1.0,41,42,1.0,1.37,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
2.0,2021-07-01 00:31:14,2021-07-01 00:40:01,N,1.0,74,236,1.0,2.14,9.0,0.5,0.5,2.65,0.0,,0.3,15.7,1.0,1.0,2.75
2.0,2021-07-01 00:16:16,2021-07-01 00:16:21,N,5.0,167,167,1.0,0.01,13.0,0.0,0.0,0.0,0.0,,0.3,13.3,2.0,1.0,0.0
2.0,2021-06-07 15:15:47,2021-06-07 16:45:22,N,1.0,197,225,1.0,7.74,56.0,0.5,0.5,0.0,0.0,,0.3,57.3,1.0,1.0,0.0
2.0,2021-07-01 00:31:21,2021-07-01 01:06:09,N,1.0,7,23,1.0,25.08,65.5,0.5,0.5,0.0,6.55,,0.3,73.35,2.0,1.0,0.0
2.0,2021-07-01 00:10:27,2021-07-01 00:11:06,N,5.0,129,264,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,0.3,7.3,2.0,2.0,0.0
2.0,2021-07-01 00:12:26,2021-07-01 00:12:29,N,5.0,129,264,1.0,0.0,7.0,0.0,0.0,2.19,0.0,,0.3,9.49,1.0,2.0,0.0
2.0,2021-07-01 00:12:53,2021-07-01 01:05:27,N,1.0,226,75,1.0,11.4,42.0,0.5,0.5,0.0,6.55,,0.3,49.85,1.0,1.0,0.0
2.0,2021-07-01 01:08:33,2021-07-01 01:36:12,N,1.0,74,226,1.0,9.08,31.0,0.5,0.5,0.0,6.55,,0.3,38.85,1.0,1.0,0.0
2.0,2021-07-01 00:57:57,2021-07-01 01:02:22,N,1.0,168,42,1.0,1.4,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2021-07-01 00:06:32,2021-07-01 00:27:55,N,1.0,226,225,1.0,5.76,19.5,0.5,0.5,4.16,0.0,,0.3,24.96,1.0,1.0,0.0
2.0,2021-07-01 00:59:11,2021-07-01 01:22:13,N,1.0,226,186,1.0,5.69,20.5,0.5,0.5,0.0,0.0,,0.3,24.55,2.0,1.0,2.75
2.0,2021-07-01 00:15:09,2021-07-01 00:23:41,N,1.0,127,75,1.0,5.65,16.5,0.5,0.5,0.0,0.0,,0.3,17.8,2.0,1.0,0.0
2.0,2021-07-01 00:42:35,2021-07-01 00:58:10,N,1.0,127,174,1.0,3.27,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2.0,1.0,0.0
2.0,2021-07-01 00:08:37,2021-07-01 00:13:55,N,1.0,41,42,1.0,1.04,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2021-07-01 00:44:51,2021-07-01 01:19:35,N,5.0,74,167,1.0,5.63,14.0,0.0,0.0,0.0,0.0,,0.3,14.3,2.0,2.0,0.0
2.0,2021-07-01 00:59:20,2021-07-01 01:19:40,N,1.0,41,174,1.0,9.81,28.5,0.5,0.5,0.0,0.0,,0.3,29.8,2.0,1.0,0.0
2.0,2021-07-01 01:06:47,2021-07-01 01:18:02,N,1.0,75,143,1.0,3.25,12.0,0.5,0.5,1.6,0.0,,0.3,17.65,1.0,1.0,2.75
2.0,2021-07-01 01:36:02,2021-07-01 01:40:28,N,1.0,75,41,1.0,1.12,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
2.0,2021-07-01 01:58:32,2021-07-01 02:08:59,N,1.0,41,238,1.0,2.58,10.5,0.5,0.5,0.0,0.0,,0.3,14.55,2.0,1.0,2.75
2.0,2021-07-01 01:08:35,2021-07-01 01:16:57,N,1.0,159,116,1.0,2.19,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
2.0,2021-07-01 01:14:10,2021-07-01 01:31:50,N,1.0,130,179,1.0,10.13,29.0,0.5,0.5,6.06,0.0,,0.3,36.36,1.0,1.0,0.0
2.0,2021-07-01 00:59:02,2021-07-01 01:15:09,N,1.0,95,216,1.0,3.5,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,2.0,1.0,0.0
2.0,2021-07-01 01:29:11,2021-07-01 01:37:52,N,1.0,75,229,1.0,2.96,10.0,0.5,0.5,0.0,0.0,,0.3,14.05,2.0,1.0,2.75
2.0,2021-07-01 01:06:12,2021-07-01 01:07:40,N,1.0,42,42,1.0,0.31,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,0.0
2.0,2021-07-01 01:12:44,2021-07-01 01:18:14,N,1.0,136,127,1.0,0.79,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
